,car,microbus,autobus,camion
01:00:00,20.0,6.0,2.0,1.0
06:45:00,60.0,18.0,8.0,1.0
07:00:00,165.5,38.5,17.0,1.5
07:15:00,250.5,39.5,25.5,2.5
07:30:00,265.0,50.333333333333336,25.0,4.333333333333333
07:45:00,284.6666666666667,58.0,23.666666666666668,3.3333333333333335
08:00:00,287.3333333333333,57.0,28.666666666666668,4.0
08:15:00,275.6666666666667,50.666666666666664,25.333333333333332,4.0
08:30:00,313.0,52.333333333333336,23.666666666666668,6.333333333333333
08:45:00,293.3333333333333,39.666666666666664,26.333333333333332,7.666666666666667
09:00:00,296.3333333333333,53.333333333333336,28.0,7.333333333333333
09:15:00,298.3333333333333,47.666666666666664,28.333333333333332,7.0
09:30:00,263.3333333333333,46.333333333333336,24.0,8.666666666666666
09:45:00,237.33333333333334,51.0,23.666666666666668,11.0
10:00:00,245.0,52.333333333333336,27.666666666666668,8.333333333333334
10:15:00,226.66666666666666,40.0,27.0,10.666666666666666
10:30:00,211.33333333333334,49.0,21.333333333333332,8.666666666666666
10:45:00,197.33333333333334,38.0,23.333333333333332,10.333333333333334
11:00:00,196.33333333333334,51.333333333333336,25.666666666666668,11.666666666666666
11:15:00,192.66666666666666,44.333333333333336,21.0,8.0
11:30:00,185.66666666666666,44.0,26.333333333333332,6.333333333333333
11:45:00,180.66666666666666,48.0,19.0,10.333333333333334
12:00:00,184.33333333333334,47.333333333333336,25.666666666666668,9.0
12:15:00,178.66666666666666,44.333333333333336,22.0,8.666666666666666
12:30:00,184.5,45.5,23.5,9.5
12:45:00,169.33333333333334,43.666666666666664,20.666666666666668,6.0
13:00:00,188.0,50.333333333333336,22.333333333333332,9.333333333333334
13:15:00,153.66666666666666,45.333333333333336,19.0,7.333333333333333
13:30:00,201.0,47.5,23.5,5.0
13:45:00,118.0,26.0,15.0,1.0
14:00:00,229.0,49.0,26.0,5.0
14:15:00,67.0,21.0,11.0,2.0
